collector,start,end,alpha,bravo,charlie
Google Play Random,08/24/2020 12:41:05 AM,08/24/2020 12:43:17 AM,5,3,2
Google Play Random,08/23/2020 11:13:07 PM,08/23/2020 11:16:21 PM,1,1,3
Google Play Random,08/23/2020 10:43:53 PM,08/23/2020 10:44:48 PM,3,4,4
Google Play Beta,08/23/2020 10:39:54 PM,08/23/2020 10:40:44 PM,5,5,3
Google Play Beta,08/23/2020 10:25:58 PM,08/23/2020 10:30:24 PM,3,4,2
Google Play Random,08/23/2020 10:16:53 PM,08/23/2020 10:18:00 PM,3,2,4
Google Play Random,08/23/2020 09:25:43 PM,08/23/2020 09:26:21 PM,3,4,5
Google Play Random,08/23/2020 08:56:22 PM,08/23/2020 08:57:30 PM,5,1,1
Google Play Random,08/23/2020 08:47:00 PM,08/23/2020 08:50:19 PM,3,5,3
Google Play Beta,08/23/2020 08:03:03 PM,08/23/2020 08:04:19 PM,5,4,3
Google Play Random,08/23/2020 07:52:00 PM,08/23/2020 07:52:56 PM,5,5,5
Google Play Random,08/23/2020 07:49:33 PM,08/23/2020 07:51:18 PM,4,4,3
Google Play Random,08/23/2020 07:33:00 PM,08/23/2020 07:33:58 PM,4,4,3
Google Play Random,08/23/2020 07:14:53 PM,08/23/2020 07:16:31 PM,3,4,5
Google Play Random,08/23/2020 06:57:27 PM,08/23/2020 06:58:10 PM,2,4,5
Google Play Random,08/23/2020 06:44:49 PM,08/23/2020 06:45:49 PM,4,3,4
Google Play Random,08/23/2020 06:09:37 PM,08/23/2020 06:16:09 PM,2,5,3
Google Play Random,08/23/2020 05:32:10 PM,08/23/2020 05:33:04 PM,2,5,3
Google Play Random,08/23/2020 04:11:57 PM,08/23/2020 04:12:34 PM,3,4,5
Google Play Random,08/23/2020 04:00:01 PM,08/23/2020 04:00:44 PM,5,4,3
Google Play Random,08/23/2020 02:43:02 PM,08/23/2020 02:44:53 PM,5,4,3
Google Play Random,08/23/2020 02:17:28 PM,08/23/2020 02:21:11 PM,4,3,2
Google Play Beta,08/23/2020 02:14:21 PM,08/23/2020 02:15:15 PM,5,3,4
